Datetime,Adj Close,Close,High,Low,Open,Volume
02/18/2023-18:00,24715.29102,24715.29102,24798.83594,24671.29102,24673.53125,0
02/18/2023-19:00,24626.47266,24626.47266,24720.48242,24605.57227,24715.41211,0
02/18/2023-20:00,24596.58008,24596.58008,24625.42188,24574.22461,24625.42188,0
02/18/2023-21:00,24623.62305,24623.62305,24628.33594,24595.39453,24595.48828,0
02/18/2023-22:00,24640.83594,24640.83594,24652.69727,24620.18945,24625.94922,0
02/18/2023-23:00,24642.95313,24642.95313,24653.63281,24629.11328,24638.94922,0
02/19/2023-00:00,24724.82227,24724.82227,24724.82227,24635.20313,24640.02734,0
02/19/2023-01:00,24704.04883,24704.04883,24749.83398,24671.37305,24731.18359,0
02/19/2023-02:00,24675.70117,24675.70117,24717.4375,24674.44922,24703.10156,0
02/19/2023-03:00,24669.3418,24669.3418,24699.17383,24666.41797,24681.38086,0
02/19/2023-04:00,24719.86523,24719.86523,24719.86523,24675.01953,24675.01953,0
02/19/2023-05:00,24764.13867,24764.13867,24815.92773,24718.95703,24718.98438,480276480
02/19/2023-06:00,24647.9707,24647.9707,24761.62891,24647.9707,24758.11133,255817728
02/19/2023-07:00,24606.06641,24606.06641,24665.31055,24606.06641,24652.26367,0
02/19/2023-08:00,24586.38867,24586.38867,24625.30859,24586.38867,24607.57422,0
02/19/2023-09:00,24609.37891,24609.37891,24621.3457,24587.99219,24587.99219,0
02/19/2023-10:00,24668.05469,24668.05469,24674.06445,24600.15039,24613.03906,15833088
02/19/2023-11:00,24681.59961,24681.59961,24705.96289,24660.35156,24664.69336,0
02/19/2023-12:00,24701.91211,24701.91211,24704.39063,24677.01758,24681.69141,0
02/19/2023-13:00,24688.87109,24688.87109,24716.18164,24684.16211,24705.64648,0
02/19/2023-14:00,24765.15625,24765.15625,24772.76367,24683.8418,24687.75391,110632960
02/19/2023-15:00,24915.85547,24915.85547,24932.61914,24754.44336,24762.5625,1396803584
02/19/2023-16:00,24787.55078,24787.55078,25093.05469,24748.0957,24910.3125,2129012736
02/19/2023-17:00,24470.63477,24470.63477,24797.79297,24470.63477,24795.92969,1473132544
02/19/2023-18:00,24488.44141,24488.44141,24496.55273,24392.875,24472.50977,308021248
02/19/2023-19:00,24549.45313,24549.45313,24559.1543,24479.64063,24481.86719,170137600
02/19/2023-20:00,24522.25,24522.25,24539.08984,24371.72852,24539.08984,569772032
02/19/2023-21:00,24542.79688,24542.79688,24562.02539,24513.25781,24518.19531,505907200
02/19/2023-22:00,24507.73828,24507.73828,24562.57617,24494.18164,24549.19727,106031104
02/19/2023-23:00,24341.10742,24341.10742,24508.15625,24341.10742,24507.2168,441602048
02/20/2023-00:00,24253.97266,24253.97266,24411.95898,24253.97266,24336.62305,493430784
02/20/2023-01:00,24238.20117,24238.20117,24260.80469,23927.91016,24247.24023,1487128576
02/20/2023-02:00,24356.35156,24356.35156,24357.11914,24196.34766,24236.96484,622592000
02/20/2023-03:00,24428.125,24428.125,24442.89844,24337.83594,24355.60742,477839360
02/20/2023-04:00,24508.47266,24508.47266,24509.14258,24426.87305,24429.31445,420519936
02/20/2023-05:00,24476.6543,24476.6543,24504.24414,24445.48828,24502.65234,0
02/20/2023-06:00,24505.50195,24505.50195,24518.79688,24454.80273,24481.58594,0
02/20/2023-07:00,24526.53906,24526.53906,24526.53906,24475.11133,24506.04492,0
02/20/2023-08:00,24466.36133,24466.36133,24520.24609,24441.17383,24520.24609,251246592
02/20/2023-09:00,24870.98438,24870.98438,24876.58984,24428.62891,24470.30273,1277718528
